fips_code,county_name,state_code,estimated_hesitant,estimated_hesitant_or_unsure,estimated_strongly_hesitant,social_vulnerability_index,svi_category,ability_to_handle_a_covid,cvac_category
13119,"Franklin County, Georgia",GA,0.1656,0.2358,0.1061,0.85,Very High Vulnerability,0.74,High Concern
13129,"Gordon County, Georgia",GA,0.1688,0.2387,0.108,0.88,Very High Vulnerability,0.85,Very High Concern
13135,"Gwinnett County, Georgia",GA,0.1178,0.1758,0.0724,0.43,Moderate Vulnerability,0.52,Moderate Concern
13143,"Haralson County, Georgia",GA,0.1649,0.2381,0.1045,0.54,Moderate Vulnerability,0.59,Moderate Concern
13121,"Fulton County, Georgia",GA,0.1085,0.1651,0.066,0.53,Moderate Vulnerability,0.52,Moderate Concern
13141,"Hancock County, Georgia",GA,0.1623,0.2462,0.1043,0.8,High Vulnerability,0.9,Very High Concern
13131,"Grady County, Georgia",GA,0.1784,0.2645,0.1148,0.93,Very High Vulnerability,0.94,Very High Concern
13123,"Gilmer County, Georgia",GA,0.1688,0.2387,0.108,0.56,Moderate Vulnerability,0.71,High Concern
13139,"Hall County, Georgia",GA,0.1488,0.2116,0.0943,0.66,High Vulnerability,0.63,High Concern
13321,"Worth County, Georgia",GA,0.1624,0.2374,0.1034,0.74,High Vulnerability,0.88,Very High Concern
13295,"Walker County, Georgia",GA,0.1694,0.2414,0.1079,0.64,High Vulnerability,0.72,High Concern
13305,"Wayne County, Georgia",GA,0.1864,0.2692,0.1219,0.92,Very High Vulnerability,0.77,High Concern
13297,"Walton County, Georgia",GA,0.1588,0.2245,0.1006,0.29,Low Vulnerability,0.53,Moderate Concern
15001,"Hawaii County, Hawaii",HI,0.0638,0.1031,0.0334,0.58,Moderate Vulnerability,0.35,Low Concern
13303,"Washington County, Georgia",GA,0.1623,0.2462,0.1043,0.95,Very High Vulnerability,0.84,Very High Concern
13313,"Whitfield County, Georgia",GA,0.1527,0.2212,0.0956,0.88,Very High Vulnerability,0.84,Very High Concern
13311,"White County, Georgia",GA,0.1469,0.2076,0.0934,0.24,Low Vulnerability,0.61,High Concern
13315,"Wilcox County, Georgia",GA,0.1728,0.2541,0.1117,0.82,Very High Vulnerability,0.95,Very High Concern
15003,"Honolulu County, Hawaii",HI,0.0507,0.0848,0.0275,0.47,Moderate Vulnerability,0.3,Low Concern
13301,"Warren County, Georgia",GA,0.1623,0.2462,0.1043,0.89,Very High Vulnerability,0.91,Very High Concern
20031,"Coffey County, Kansas",KS,0.1448,0.1976,0.0885,0.2,Low Vulnerability,0.33,Low Concern
21129,"Lee County, Kentucky",KY,0.2181,0.283,0.1463,0.82,Very High Vulnerability,0.5,Moderate Concern
21127,"Lawrence County, Kentucky",KY,0.1975,0.2492,0.1302,0.76,High Vulnerability,0.41,Moderate Concern
21135,"Lewis County, Kentucky",KY,0.2105,0.2707,0.1391,0.62,High Vulnerability,0.41,Moderate Concern
21125,"Laurel County, Kentucky",KY,0.221,0.2796,0.1503,0.75,High Vulnerability,0.28,Low Concern
21137,"Lincoln County, Kentucky",KY,0.1889,0.2392,0.1251,0.71,High Vulnerability,0.35,Low Concern
21133,"Letcher County, Kentucky",KY,0.2181,0.283,0.1463,0.88,Very High Vulnerability,0.39,Low Concern
21139,"Livingston County, Kentucky",KY,0.1972,0.2532,0.1314,0.26,Low Vulnerability,0.09,Very Low Concern
21131,"Leslie County, Kentucky",KY,0.2181,0.283,0.1463,0.77,High Vulnerability,0.41,Moderate Concern
24510,"Baltimore city, Maryland",MD,0.08,0.1264,0.0415,0.83,Very High Vulnerability,0.36,Low Concern
24043,"Washington County, Maryland",MD,0.0903,0.131,0.048,0.61,High Vulnerability,0.28,Low Concern
24045,"Wicomico County, Maryland",MD,0.0861,0.1282,0.0457,0.77,High Vulnerability,0.24,Low Concern
24047,"Worcester County, Maryland",MD,0.0861,0.1282,0.0457,0.28,Low Vulnerability,0.05,Very Low Concern
25005,"Bristol County, Massachusetts",MA,0.0572,0.0853,0.0417,0.52,Moderate Vulnerability,0.06,Very Low Concern
25025,"Suffolk County, Massachusetts",MA,0.0442,0.0693,0.0317,0.74,High Vulnerability,0.05,Very Low Concern
25027,"Worcester County, Massachusetts",MA,0.049,0.0729,0.0356,0.41,Moderate Vulnerability,0.03,Very Low Concern
26005,"Allegan County, Michigan",MI,0.1072,0.1841,0.0664,0.18,Very Low Vulnerability,0.28,Low Concern
26001,"Alcona County, Michigan",MI,0.0976,0.1717,0.06,0.26,Low Vulnerability,0.37,Low Concern
26003,"Alger County, Michigan",MI,0.1087,0.1903,0.0665,0.45,Moderate Vulnerability,0.53,Moderate Concern
26015,"Barry County, Michigan",MI,0.0962,0.1711,0.0593,0.09,Very Low Vulnerability,0.22,Low Concern
26013,"Baraga County, Michigan",MI,0.095,0.169,0.0584,0.66,High Vulnerability,0.63,High Concern
26011,"Arenac County, Michigan",MI,0.1033,0.1808,0.0645,0.51,Moderate Vulnerability,0.44,Moderate Concern
26017,"Bay County, Michigan",MI,0.0932,0.1634,0.0571,0.44,Moderate Vulnerability,0.29,Low Concern
26035,"Clare County, Michigan",MI,0.1102,0.1983,0.0688,0.77,High Vulnerability,0.71,High Concern
26027,"Cass County, Michigan",MI,0.099,0.1737,0.0608,0.33,Low Vulnerability,0.33,Low Concern
26037,"Clinton County, Michigan",MI,0.0842,0.146,0.0507,0.04,Very Low Vulnerability,0.22,Low Concern
26045,"Eaton County, Michigan",MI,0.0842,0.146,0.0507,0.31,Low Vulnerability,0.26,Low Concern
26043,"Dickinson County, Michigan",MI,0.095,0.169,0.0584,0.23,Low Vulnerability,0.28,Low Concern
26053,"Gogebic County, Michigan",MI,0.095,0.169,0.0584,0.4,Moderate Vulnerability,0.57,Moderate Concern
26029,"Charlevoix County, Michigan",MI,0.1025,0.1774,0.063,0.1,Very Low Vulnerability,0.24,Low Concern
26051,"Gladwin County, Michigan",MI,0.1033,0.1808,0.0645,0.54,Moderate Vulnerability,0.67,High Concern
26041,"Delta County, Michigan",MI,0.1087,0.1903,0.0665,0.35,Low Vulnerability,0.45,Moderate Concern
26031,"Cheboygan County, Michigan",MI,0.0976,0.1717,0.06,0.29,Low Vulnerability,0.31,Low Concern
26055,"Grand Traverse County, Michigan",MI,0.0882,0.153,0.0537,0.18,Very Low Vulnerability,0.08,Very Low Concern
26049,"Genesee County, Michigan",MI,0.1073,0.1964,0.0658,0.66,High Vulnerability,0.4,Moderate Concern
26033,"Chippewa County, Michigan",MI,0.1087,0.1903,0.0665,0.72,High Vulnerability,0.62,High Concern
26039,"Crawford County, Michigan",MI,0.0976,0.1717,0.06,0.37,Low Vulnerability,0.32,Low Concern
26079,"Kalkaska County, Michigan",MI,0.1025,0.1774,0.063,0.51,Moderate Vulnerability,0.48,Moderate Concern
26085,"Lake County, Michigan",MI,0.1047,0.1816,0.0644,0.78,High Vulnerability,0.63,High Concern
26087,"Lapeer County, Michigan",MI,0.0987,0.1711,0.0611,0.24,Low Vulnerability,0.39,Low Concern
26081,"Kent County, Michigan",MI,0.0906,0.1603,0.0542,0.48,Moderate Vulnerability,0.19,Very Low Concern
26091,"Lenawee County, Michigan",MI,0.1073,0.1892,0.0668,0.41,Moderate Vulnerability,0.35,Low Concern
26093,"Livingston County, Michigan",MI,0.0815,0.1385,0.0499,0.01,Very Low Vulnerability,0.17,Very Low Concern
26125,"Oakland County, Michigan",MI,0.0719,0.1261,0.0436,0.11,Very Low Vulnerability,0.11,Very Low Concern
26109,"Menominee County, Michigan",MI,0.1087,0.1903,0.0665,0.28,Low Vulnerability,0.55,Moderate Concern
26135,"Oscoda County, Michigan",MI,0.0976,0.1717,0.06,0.67,High Vulnerability,0.69,High Concern
26127,"Oceana County, Michigan",MI,0.1047,0.1816,0.0644,0.86,Very High Vulnerability,0.63,High Concern
26107,"Mecosta County, Michigan",MI,0.1125,0.1974,0.0699,0.6,Moderate Vulnerability,0.55,Moderate Concern
26117,"Montcalm County, Michigan",MI,0.1125,0.1974,0.0699,0.61,High Vulnerability,0.7,High Concern
26115,"Monroe County, Michigan",MI,0.0983,0.1685,0.0604,0.15,Very Low Vulnerability,0.31,Low Concern
26133,"Osceola County, Michigan",MI,0.1125,0.1974,0.0699,0.74,High Vulnerability,0.74,High Concern
26119,"Montmorency County, Michigan",MI,0.0976,0.1717,0.06,0.37,Low Vulnerability,0.38,Low Concern
26129,"Ogemaw County, Michigan",MI,0.1033,0.1808,0.0645,0.63,High Vulnerability,0.44,Moderate Concern
31067,"Gage County, Nebraska",NE,0.0891,0.1354,0.0555,0.11,Very Low Vulnerability,0.08,Very Low Concern
31031,"Cherry County, Nebraska",NE,0.0842,0.1287,0.0516,0.23,Low Vulnerability,0.21,Low Concern
31057,"Dundy County, Nebraska",NE,0.087,0.1318,0.0537,0.3,Low Vulnerability,0.26,Low Concern
31033,"Cheyenne County, Nebraska",NE,0.0842,0.1287,0.0516,0.12,Very Low Vulnerability,0.09,Very Low Concern
31159,"Seward County, Nebraska",NE,0.0891,0.1354,0.0555,0.05,Very Low Vulnerability,0.17,Very Low Concern
31169,"Thayer County, Nebraska",NE,0.0891,0.1354,0.0555,0.06,Very Low Vulnerability,0.21,Low Concern
31139,"Pierce County, Nebraska",NE,0.0848,0.1288,0.0521,0.02,Very Low Vulnerability,0.02,Very Low Concern
31151,"Saline County, Nebraska",NE,0.0891,0.1354,0.0555,0.6,Moderate Vulnerability,0.42,Moderate Concern
31161,"Sheridan County, Nebraska",NE,0.0842,0.1287,0.0516,0.6,Moderate Vulnerability,0.43,Moderate Concern
36073,"Orleans County, New York",NY,0.0851,0.1558,0.0603,0.64,High Vulnerability,0.38,Low Concern
36057,"Montgomery County, New York",NY,0.0796,0.1489,0.0553,0.83,Very High Vulnerability,0.39,Low Concern
36083,"Rensselaer County, New York",NY,0.0678,0.1273,0.0476,0.34,Low Vulnerability,0.15,Very Low Concern
36075,"Oswego County, New York",NY,0.0798,0.1477,0.056,0.65,High Vulnerability,0.23,Low Concern
36065,"Oneida County, New York",NY,0.074,0.1385,0.052,0.69,High Vulnerability,0.21,Low Concern
36081,"Queens County, New York",NY,0.051,0.1014,0.036,0.62,High Vulnerability,0.32,Low Concern
36063,"Niagara County, New York",NY,0.0721,0.1343,0.0501,0.33,Low Vulnerability,0.2,Low Concern
36077,"Otsego County, New York",NY,0.0722,0.1359,0.0509,0.42,Moderate Vulnerability,0.2,Very Low Concern
36067,"Onondaga County, New York",NY,0.0655,0.1241,0.0453,0.52,Moderate Vulnerability,0.17,Very Low Concern
36061,"New York County, New York",NY,0.0457,0.0894,0.0313,0.55,Moderate Vulnerability,0.18,Very Low Concern
36069,"Ontario County, New York",NY,0.0663,0.1213,0.0465,0.23,Low Vulnerability,0.1,Very Low Concern
36079,"Putnam County, New York",NY,0.0578,0.1043,0.0408,0.08,Very Low Vulnerability,0.04,Very Low Concern
36071,"Orange County, New York",NY,0.0667,0.1251,0.0471,0.55,Moderate Vulnerability,0.2,Low Concern
36059,"Nassau County, New York",NY,0.0477,0.0868,0.0343,0.24,Low Vulnerability,0.05,Very Low Concern
39035,"Cuyahoga County, Ohio",OH,0.1219,0.1776,0.0713,0.68,High Vulnerability,0.24,Low Concern
39045,"Fairfield County, Ohio",OH,0.1335,0.1826,0.0796,0.24,Low Vulnerability,0.06,Very Low Concern
39037,"Darke County, Ohio",OH,0.143,0.1969,0.0854,0.13,Very Low Vulnerability,0.13,Very Low Concern
39039,"Defiance County, Ohio",OH,0.1416,0.1976,0.0848,0.22,Low Vulnerability,0.1,Very Low Concern
39041,"Delaware County, Ohio",OH,0.1031,0.1382,0.0611,0.02,Very Low Vulnerability,0.0,Very Low Concern
39031,"Coshocton County, Ohio",OH,0.1753,0.237,0.113,0.62,High Vulnerability,0.54,Moderate Concern
39033,"Crawford County, Ohio",OH,0.1468,0.2064,0.088,0.32,Low Vulnerability,0.24,Low Concern
39043,"Erie County, Ohio",OH,0.1304,0.1814,0.077,0.29,Low Vulnerability,0.07,Very Low Concern
39157,"Tuscarawas County, Ohio",OH,0.158,0.2201,0.097,0.34,Low Vulnerability,0.28,Low Concern
47189,"Wilson County, Tennessee",TN,0.1169,0.1696,0.0722,0.15,Very Low Vulnerability,0.56,Moderate Concern
48001,"Anderson County, Texas",TX,0.1398,0.2105,0.0948,0.79,High Vulnerability,0.95,Very High Concern
48009,"Archer County, Texas",TX,0.1293,0.1898,0.087,0.09,Very Low Vulnerability,0.8,Very High Concern
48003,"Andrews County, Texas",TX,0.1166,0.1765,0.0789,0.47,Moderate Vulnerability,0.88,Very High Concern
47185,"White County, Tennessee",TN,0.1382,0.2064,0.0879,0.6,Moderate Vulnerability,0.87,Very High Concern
48005,"Angelina County, Texas",TX,0.125,0.1935,0.0836,0.98,Very High Vulnerability,0.89,Very High Concern
48007,"Aransas County, Texas",TX,0.1183,0.18,0.0772,0.8,Very High Vulnerability,0.85,Very High Concern
47187,"Williamson County, Tennessee",TN,0.0864,0.1233,0.0536,0.02,Very Low Vulnerability,0.31,Low Concern
48019,"Bandera County, Texas",TX,0.1146,0.174,0.0756,0.51,Moderate Vulnerability,0.77,High Concern
48029,"Bexar County, Texas",TX,0.1005,0.1587,0.0641,0.83,Very High Vulnerability,0.87,Very High Concern
48017,"Bailey County, Texas",TX,0.1143,0.1758,0.0766,0.8,Very High Vulnerability,0.96,Very High Concern
48023,"Baylor County, Texas",TX,0.1293,0.1898,0.087,0.16,Very Low Vulnerability,0.78,High Concern
48079,"Cochran County, Texas",TX,0.1143,0.1758,0.0766,0.86,Very High Vulnerability,0.99,Very High Concern
48105,"Crockett County, Texas",TX,0.1235,0.1873,0.0822,0.69,High Vulnerability,0.9,Very High Concern
48081,"Coke County, Texas",TX,0.1235,0.1873,0.0822,0.62,High Vulnerability,0.91,Very High Concern
48089,"Colorado County, Texas",TX,0.1114,0.1704,0.0738,0.68,High Vulnerability,0.93,Very High Concern
48087,"Collingsworth County, Texas",TX,0.1241,0.1883,0.0824,0.89,Very High Vulnerability,0.98,Very High Concern
48097,"Cooke County, Texas",TX,0.1317,0.1945,0.0881,0.62,High Vulnerability,0.85,Very High Concern
48095,"Concho County, Texas",TX,0.1235,0.1873,0.0822,0.43,Moderate Vulnerability,0.96,Very High Concern
48099,"Coryell County, Texas",TX,0.1264,0.1929,0.0847,0.78,High Vulnerability,0.82,Very High Concern
48085,"Collin County, Texas",TX,0.083,0.1234,0.0542,0.15,Very Low Vulnerability,0.49,Moderate Concern
48101,"Cottle County, Texas",TX,0.1293,0.1898,0.087,0.94,Very High Vulnerability,1.0,Very High Concern
48093,"Comanche County, Texas",TX,0.1278,0.1901,0.086,0.73,High Vulnerability,0.92,Very High Concern
48083,"Coleman County, Texas",TX,0.1278,0.1901,0.086,0.42,Moderate Vulnerability,0.94,Very High Concern
48077,"Clay County, Texas",TX,0.1293,0.1898,0.087,0.32,Low Vulnerability,0.68,High Concern
48103,"Crane County, Texas",TX,0.1166,0.1765,0.0789,0.47,Moderate Vulnerability,0.93,Very High Concern
48091,"Comal County, Texas",TX,0.0937,0.1369,0.0619,0.24,Low Vulnerability,0.64,High Concern
48109,"Culberson County, Texas",TX,0.1166,0.1765,0.0789,1.0,Very High Vulnerability,1.0,Very High Concern
48187,"Guadalupe County, Texas",TX,0.1024,0.1543,0.0667,0.43,Moderate Vulnerability,0.77,High Concern
48179,"Gray County, Texas",TX,0.1241,0.1883,0.0824,0.84,Very High Vulnerability,0.95,Very High Concern
48185,"Grimes County, Texas",TX,0.1225,0.1864,0.0827,0.86,Very High Vulnerability,0.9,Very High Concern
48183,"Gregg County, Texas",TX,0.1265,0.1924,0.0851,0.88,Very High Vulnerability,0.79,High Concern
48181,"Grayson County, Texas",TX,0.1317,0.1945,0.0881,0.66,High Vulnerability,0.79,High Concern
48199,"Hardin County, Texas",TX,0.1338,0.1949,0.0899,0.25,Low Vulnerability,0.81,Very High Concern
48201,"Harris County, Texas",TX,0.1057,0.1669,0.0691,0.72,High Vulnerability,0.79,High Concern
48203,"Harrison County, Texas",TX,0.1276,0.1901,0.0861,0.73,High Vulnerability,0.94,Very High Concern
48197,"Hardeman County, Texas",TX,0.1293,0.1898,0.087,0.73,High Vulnerability,0.96,Very High Concern
48281,"Lampasas County, Texas",TX,0.1264,0.1929,0.0847,0.54,Moderate Vulnerability,0.88,Very High Concern
48279,"Lamb County, Texas",TX,0.1143,0.1758,0.0766,0.9,Very High Vulnerability,0.99,Very High Concern
48289,"Leon County, Texas",TX,0.1225,0.1864,0.0827,0.62,High Vulnerability,0.92,Very High Concern
48287,"Lee County, Texas",TX,0.124,0.188,0.0827,0.68,High Vulnerability,0.88,Very High Concern
48291,"Liberty County, Texas",TX,0.1377,0.2028,0.0929,0.94,Very High Vulnerability,0.97,Very High Concern
48285,"Lavaca County, Texas",TX,0.1134,0.1709,0.0762,0.69,High Vulnerability,0.91,Very High Concern
48283,"La Salle County, Texas",TX,0.107,0.1724,0.0705,0.82,Very High Vulnerability,0.97,Very High Concern
48293,"Limestone County, Texas",TX,0.1248,0.188,0.085,0.95,Very High Vulnerability,0.98,Very High Concern
48297,"Live Oak County, Texas",TX,0.1146,0.1867,0.0742,0.69,High Vulnerability,0.95,Very High Concern
48299,"Llano County, Texas",TX,0.1264,0.1929,0.0847,0.47,Moderate Vulnerability,0.76,High Concern
48315,"Marion County, Texas",TX,0.1276,0.1901,0.0861,0.69,High Vulnerability,0.97,Very High Concern
48337,"Montague County, Texas",TX,0.1293,0.1898,0.087,0.58,Moderate Vulnerability,0.93,Very High Concern
48335,"Mitchell County, Texas",TX,0.1278,0.1901,0.086,0.62,High Vulnerability,0.97,Very High Concern
48325,"Medina County, Texas",TX,0.1146,0.174,0.0756,0.67,High Vulnerability,0.95,Very High Concern
48313,"Madison County, Texas",TX,0.1225,0.1864,0.0827,0.84,Very High Vulnerability,0.96,Very High Concern
48327,"Menard County, Texas",TX,0.1235,0.1873,0.0822,0.59,Moderate Vulnerability,0.97,Very High Concern
48329,"Midland County, Texas",TX,0.1034,0.1564,0.067,0.47,Moderate Vulnerability,0.72,High Concern
48319,"Mason County, Texas",TX,0.1235,0.1873,0.0822,0.36,Low Vulnerability,0.81,Very High Concern
48311,"McMullen County, Texas",TX,0.1146,0.1867,0.0742,0.76,High Vulnerability,0.83,Very High Concern
48321,"Matagorda County, Texas",TX,0.1114,0.1704,0.0738,0.91,Very High Vulnerability,0.94,Very High Concern
48331,"Milam County, Texas",TX,0.1225,0.1864,0.0827,0.76,High Vulnerability,0.95,Very High Concern
48339,"Montgomery County, Texas",TX,0.1086,0.1585,0.0725,0.39,Low Vulnerability,0.67,High Concern
48317,"Martin County, Texas",TX,0.1235,0.1873,0.0822,0.42,Moderate Vulnerability,0.89,Very High Concern
48333,"Mills County, Texas",TX,0.1264,0.1929,0.0847,0.77,High Vulnerability,0.95,Very High Concern
48323,"Maverick County, Texas",TX,0.107,0.1724,0.0705,0.97,Very High Vulnerability,1.0,Very High Concern
48389,"Reeves County, Texas",TX,0.1166,0.1765,0.0789,0.78,High Vulnerability,0.98,Very High Concern
48391,"Refugio County, Texas",TX,0.1183,0.18,0.0772,0.94,Very High Vulnerability,0.99,Very High Concern
48369,"Parmer County, Texas",TX,0.1241,0.1883,0.0824,0.76,High Vulnerability,0.97,Very High Concern
48381,"Randall County, Texas",TX,0.1021,0.1521,0.0667,0.22,Low Vulnerability,0.6,High Concern
48383,"Reagan County, Texas",TX,0.1235,0.1873,0.0822,0.48,Moderate Vulnerability,0.94,Very High Concern
48367,"Parker County, Texas",TX,0.1198,0.1716,0.0811,0.26,Low Vulnerability,0.68,High Concern
48375,"Potter County, Texas",TX,0.1281,0.2007,0.0864,0.92,Very High Vulnerability,0.87,Very High Concern
48385,"Real County, Texas",TX,0.107,0.1724,0.0705,0.72,High Vulnerability,0.93,Very High Concern
48365,"Panola County, Texas",TX,0.1282,0.1918,0.0871,0.7,High Vulnerability,0.92,Very High Concern
48377,"Presidio County, Texas",TX,0.1166,0.1765,0.0789,1.0,Very High Vulnerability,0.99,Very High Concern
48373,"Polk County, Texas",TX,0.1365,0.206,0.093,0.91,Very High Vulnerability,0.97,Very High Concern
48387,"Red River County, Texas",TX,0.1283,0.1937,0.0866,0.56,Moderate Vulnerability,0.99,Very High Concern
48379,"Rains County, Texas",TX,0.1285,0.1874,0.0874,0.4,Moderate Vulnerability,0.89,Very High Concern
48371,"Pecos County, Texas",TX,0.1166,0.1765,0.0789,0.82,Very High Vulnerability,0.98,Very High Concern
48415,"Scurry County, Texas",TX,0.1278,0.1901,0.086,0.7,High Vulnerability,0.95,Very High Concern
48417,"Shackelford County, Texas",TX,0.1278,0.1901,0.086,0.69,High Vulnerability,0.72,High Concern
48407,"San Jacinto County, Texas",TX,0.1365,0.206,0.093,0.69,High Vulnerability,0.89,Very High Concern
48409,"San Patricio County, Texas",TX,0.1183,0.18,0.0772,0.83,Very High Vulnerability,0.97,Very High Concern
48419,"Shelby County, Texas",TX,0.1428,0.2169,0.0983,0.95,Very High Vulnerability,0.99,Very High Concern
48411,"San Saba County, Texas",TX,0.1264,0.1929,0.0847,0.73,High Vulnerability,0.97,Very High Concern
48413,"Schleicher County, Texas",TX,0.1235,0.1873,0.0822,0.59,Moderate Vulnerability,0.96,Very High Concern
48423,"Smith County, Texas",TX,0.116,0.1766,0.0768,0.75,High Vulnerability,0.67,High Concern
48433,"Stonewall County, Texas",TX,0.1278,0.1901,0.086,0.32,Low Vulnerability,0.79,High Concern
48431,"Sterling County, Texas",TX,0.1235,0.1873,0.0822,0.41,Moderate Vulnerability,0.8,Very High Concern
48435,"Sutton County, Texas",TX,0.1235,0.1873,0.0822,0.6,High Vulnerability,0.94,Very High Concern
48479,"Webb County, Texas",TX,0.1039,0.1663,0.0674,0.95,Very High Vulnerability,0.99,Very High Concern
48453,"Travis County, Texas",TX,0.0916,0.1391,0.0588,0.38,Low Vulnerability,0.69,High Concern
51101,"King William County, Virginia",VA,0.0581,0.114,0.0399,0.04,Very Low Vulnerability,0.06,Very Low Concern
51103,"Lancaster County, Virginia",VA,0.0613,0.1235,0.0424,0.16,Very Low Vulnerability,0.11,Very Low Concern
51093,"Isle of Wight County, Virginia",VA,0.0638,0.1301,0.0434,0.34,Low Vulnerability,0.14,Very Low Concern
51111,"Lunenburg County, Virginia",VA,0.0714,0.1474,0.0497,0.86,Very High Vulnerability,0.5,Moderate Concern
51109,"Louisa County, Virginia",VA,0.0611,0.1213,0.0423,0.33,Low Vulnerability,0.21,Low Concern
51095,"James City County, Virginia",VA,0.0481,0.0973,0.0328,0.12,Very Low Vulnerability,0.01,Very Low Concern
51087,"Henrico County, Virginia",VA,0.0516,0.1072,0.0346,0.26,Low Vulnerability,0.04,Very Low Concern
51097,"King and Queen County, Virginia",VA,0.0613,0.1235,0.0424,0.32,Low Vulnerability,0.28,Low Concern
51107,"Loudoun County, Virginia",VA,0.0371,0.0718,0.0258,0.09,Very Low Vulnerability,0.05,Very Low Concern
51089,"Henry County, Virginia",VA,0.0672,0.1388,0.0461,0.89,Very High Vulnerability,0.59,Moderate Concern
51105,"Lee County, Virginia",VA,0.0804,0.1596,0.0556,0.81,Very High Vulnerability,0.65,High Concern
51099,"King George County, Virginia",VA,0.0617,0.1231,0.0421,0.02,Very Low Vulnerability,0.2,Very Low Concern
51113,"Madison County, Virginia",VA,0.0612,0.1195,0.0417,0.16,Very Low Vulnerability,0.32,Low Concern
51091,"Highland County, Virginia",VA,0.0678,0.1359,0.0467,0.06,Very Low Vulnerability,0.33,Low Concern
51550,"Chesapeake city, Virginia",VA,0.0613,0.1272,0.0419,0.26,Low Vulnerability,0.07,Very Low Concern
51590,"Danville city, Virginia",VA,0.0672,0.1388,0.0461,0.96,Very High Vulnerability,0.43,Moderate Concern
51540,"Charlottesville city, Virginia",VA,0.0509,0.1036,0.0349,0.41,Moderate Vulnerability,0.16,Very Low Concern
51570,"Colonial Heights city, Virginia",VA,0.0682,0.1444,0.0469,0.57,Moderate Vulnerability,0.25,Low Concern
51600,"Fairfax city, Virginia",VA,0.0375,0.0755,0.0264,0.24,Low Vulnerability,0.02,Very Low Concern
51620,"Franklin city, Virginia",VA,0.0638,0.1301,0.0434,0.72,High Vulnerability,0.36,Low Concern
51630,"Fredericksburg city, Virginia",VA,0.0576,0.1174,0.0395,0.56,Moderate Vulnerability,0.33,Low Concern
51680,"Lynchburg city, Virginia",VA,0.0668,0.1405,0.0457,0.74,High Vulnerability,0.31,Low Concern
51735,"Poquoson city, Virginia",VA,0.0481,0.0973,0.0328,0.01,Very Low Vulnerability,0.07,Very Low Concern
51730,"Petersburg city, Virginia",VA,0.0682,0.1444,0.0469,0.96,Very High Vulnerability,0.54,Moderate Concern
51720,"Norton city, Virginia",VA,0.0804,0.1596,0.0556,0.91,Very High Vulnerability,0.44,Moderate Concern
51775,"Salem city, Virginia",VA,0.0676,0.1406,0.0448,0.31,Low Vulnerability,0.06,Very Low Concern
51830,"Williamsburg city, Virginia",VA,0.0481,0.0973,0.0328,0.38,Low Vulnerability,0.34,Low Concern
51790,"Staunton city, Virginia",VA,0.0678,0.1359,0.0467,0.44,Moderate Vulnerability,0.22,Low Concern
51820,"Waynesboro city, Virginia",VA,0.0678,0.1359,0.0467,0.6,High Vulnerability,0.32,Low Concern
51750,"Radford city, Virginia",VA,0.0634,0.1316,0.0432,0.41,Moderate Vulnerability,0.46,Moderate Concern
51800,"Suffolk city, Virginia",VA,0.0638,0.1301,0.0434,0.35,Low Vulnerability,0.12,Very Low Concern
51760,"Richmond city, Virginia",VA,0.0611,0.1325,0.0404,0.77,High Vulnerability,0.4,Moderate Concern
51810,"Virginia Beach city, Virginia",VA,0.055,0.114,0.0368,0.19,Very Low Vulnerability,0.14,Very Low Concern
